path_no,x(m),y(m)
0,-10.185503603142356,28.441869564842065
1,-10.18550095725702,28.441868659412634
2,-10.18549831113094,28.441867753894137
3,-10.185495664764112,28.441866848286587
4,-10.185493018156532,28.44186594259001
5,-10.185490371308163,28.44186503680439
6,-10.18548772421899,28.441864130929762
7,-10.18548507688901,28.441863224966124
8,-10.185482429318206,28.441862318913493
9,-10.185479781506542,28.441861412771885
10,-10.18547713345402,28.441860506541307
11,-10.18547448516061,28.441859600221772
12,-10.185471836626293,28.44185869381329
13,-10.185469187851075,28.44185778731588
14,-10.185466538834909,28.44185688072953
15,-10.18546388957769,28.44185597405423
16,-10.185461240079395,28.44185506728996
17,-10.185458590340081,28.441854160436748
18,-10.185455940359729,28.441853253494614
19,-10.185453290138328,28.441852346463556
20,-10.185450639675853,28.4418514393436
21,-10.185447988972921,28.441850532134964
22,-10.185445338032215,28.44184962483856
23,-10.18544268685141,28.44184871745369
24,-10.185440035430453,28.441847809980374
25,-10.185437383769322,28.441846902418593
26,-10.185434731867998,28.44184599476838
27,-10.185432079726468,28.441845087029726
28,-10.185429427344717,28.44184417920266
29,-10.185426774721561,28.441843271286814
30,-10.185424121854979,28.44184236328163
31,-10.185421468747066,28.44184145518779
32,-10.185418815397794,28.441840547005313
33,-10.185416161807163,28.44183963873421
34,-10.185413507975145,28.441838730374503
35,-10.185410853901724,28.441837821926192
36,-10.185408199586895,28.4418369133893
37,-10.185405545030617,28.441836004763832
38,-10.18540289023252,28.44183509604967
39,-10.185400235192816,28.441834187246908
40,-10.18539757991153,28.441833278355567
41,-10.185394924388655,28.441832369375668
42,-10.185392268624138,28.44183146030721
43,-10.185389612617998,28.441830551150204
44,-10.185386956370197,28.44182964190466
45,-10.185384299880718,28.441828732570603
46,-10.185381643149565,28.441827823148046
47,-10.185378986176703,28.44182691363699
48,-10.185376328964159,28.441826004038887
49,-10.185373671513629,28.44182509435922
50,-10.185371013821575,28.44182418459773
51,-10.185368355887958,28.44182327475444
52,-10.18536569771276,28.44182236482934
53,-10.185363039295977,28.441821454822453
54,-10.185360380636979,28.441820544733595
55,-10.185357721735084,28.441819634562535
56,-10.185355062589293,28.441818724308938
57,-10.185352403200927,28.441817813973245
58,-10.185349743569978,28.441816903555477
59,-10.18534708369643,28.441815993055627
60,-10.185344423580267,28.44181508247372
61,-10.185341763221471,28.44181417180977
62,-10.185339102620032,28.441813261063775
63,-10.18533644177592,28.441812350235764
64,-10.18533378068908,28.441811439325726
65,-10.185331119359516,28.44181052833367
66,-10.185328457787225,28.441809617259622
67,-10.185325795972194,28.441808706103597
68,-10.18532313391619,28.44180779486695
69,-10.185320471622562,28.441806883555923
70,-10.185317809086916,28.44180597217005
71,-10.185315146309184,28.441805060709342
72,-10.185312483289906,28.441804149174004
73,-10.18530982002959,28.44180323756434
74,-10.185307156527488,28.44180232588015
75,-10.185304492783585,28.44180141412145
76,-10.185301828797874,28.441800502288263
77,-10.185299164570324,28.44179959038057
78,-10.185296500100927,28.441798678398406
79,-10.185293835389668,28.441797766341768
80,-10.18529117043653,28.441796854210704
81,-10.185288505241498,28.441795942005186
82,-10.185285839804557,28.44179502972524
83,-10.185283174125681,28.44179411737088
84,-10.185280508204873,28.44179320494211
85,-10.185277842042106,28.441792292438947
86,-10.185275175637361,28.441791379861403
87,-10.185272508990636,28.441790467209483
88,-10.185269842101905,28.441789554483197
89,-10.18526717497115,28.441788641682564
90,-10.185264507598363,28.441787728807608
91,-10.18526183998352,28.44178681585831
92,-10.185259172126612,28.4417859028347
93,-10.185256504027622,28.44178498973679
94,-10.185253835686535,28.44178407656458
95,-10.185251167103337,28.441783163318096
96,-10.185248498278009,28.441782249997345
97,-10.185245829210535,28.44178133660233
98,-10.18524315990091,28.441780423133075
99,-10.185240490346027,28.441779509588578
100,-10.185237820547355,28.441778595969346
101,-10.185235150505472,28.441777682275575
102,-10.185232480220362,28.44177676850728
